id,model,mae,bias,score
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,CrostonClassic,105.83184112778324,-105.83184112778324,211.66368225556647
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,CrostonOptimized,74.87338600598204,-69.46647210919618,144.33985811517823
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,CrostonSBA,120.11167764282267,-120.11167764282267,240.22335528564534
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,DynamicOptimizedTheta,77.11306578930474,-74.33909015792628,151.452155947231
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,DynamicTheta,83.99736758692381,-82.97271227815376,166.9700798650776
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,HistoricAverage,199.45488721804512,-199.45488721804512,398.90977443609023
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,Holt,74.1446480896852,14.968214139932835,89.11286222961805
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,HoltWinters,79.50237468668784,-76.33856335705357,155.8409380437414
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,Naive,75.71428571428571,-71.42857142857143,147.14285714285714
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,OptimizedTheta,69.13408368169749,-59.79439928097488,128.92848296267238
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,RandomWalkWithDrift,63.85714285714287,-44.42857142857144,108.2857142857143
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,SeasonalExponentialSmoothingOptimized,115.2143343583901,-108.01088890949897,223.22522326788908
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,SeasonalNaive,102.85714285714286,-91.42857142857143,194.28571428571428
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,SimpleExponentialSmoothingOptimized,74.87344999643383,-69.46662142025038,144.34007141668422
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,Theta,83.89706580514603,-82.79736852477791,166.69443432992392
CID0_SID0_PID104_MGID6_CAT120-CAT250-CAT32,WindowAverage,69.64285714285714,-48.92857142857143,118.57142857142857
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,CrostonClassic,103.79503638137581,-26.496913049101064,130.29194943047688
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,CrostonOptimized,119.8438532631657,-78.68327666167237,198.52712992483805
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,CrostonSBA,109.71242741944988,-47.20778168236029,156.92020910181017
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,DynamicOptimizedTheta,103.74684565573133,-26.328245509345248,130.07509116507657
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,DynamicTheta,108.30166437856363,-35.75756834387982,144.05923272244345
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,HistoricAverage,103.1203007518797,47.706766917293244,150.82706766917295
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,Holt,106.64931429751569,-8.760258754927106,115.4095730524428
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,HoltWinters,130.50391534933928,-60.31045971527451,190.81437506461378
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,Naive,166.42857142857142,-160.71428571428572,327.1428571428571
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,OptimizedTheta,110.81892369803714,-42.1859487253554,153.00487242339256
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,RandomWalkWithDrift,142.38095238095238,-135.71428571428572,278.0952380952381
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,SeasonalExponentialSmoothingOptimized,92.73484510336425,24.544570074003357,117.27941517736761
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,SeasonalNaive,115.0,-92.14285714285714,207.14285714285714
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,SimpleExponentialSmoothingOptimized,119.84384332088136,-78.68325346300897,198.52709678389033
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,Theta,107.28292694632736,-34.25719578172893,141.5401227280563
CID0_SID0_PID117_MGID6_CAT14-CAT228-CAT31,WindowAverage,118.57142857142857,-75.71428571428571,194.28571428571428
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,CrostonClassic,39.285714285714285,-2.2968545483857445,41.58256883410003
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,CrostonOptimized,39.618294405950714,-11.878316135113213,51.49661054106393
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,CrostonSBA,39.285714285714285,-8.217726106680749,47.503440392395035
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,DynamicOptimizedTheta,39.32098525713433,-10.837734114255875,50.158719371390205
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,DynamicTheta,43.16546259431243,-23.844074290267766,67.0095368845802
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,HistoricAverage,78.1954887218045,74.68045112781952,152.87593984962402
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,Holt,58.04357876896459,-41.41903047452143,99.46260924348601
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,HoltWinters,55.956131979807914,-46.81304582148078,102.76917780128869
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,Naive,62.142857142857146,-60.714285714285715,122.85714285714286
CID0_SID0_PID118_MGID6_CAT14-CAT228-CAT3180,OptimizedTheta,55.226377480698524,-45.75878367803006,100.98516115872859
